agents_count,success_count_cbs,time_cbs,flowtime_cbs,makespan_cbs,SIC_cbs,success_count_cbs_ds,time_cbs_ds,flowtime_cbs_ds,makespan_cbs_ds,SIC_cbs_ds,success_count_ecbs_30,time_ecbs_30,flowtime_ecbs_30,makespan_ecbs_30,SIC_ecbs_30,success_count_ecbs_179,time_ecbs_179,flowtime_ecbs_179,makespan_ecbs_179,SIC_ecbs_179
130,True,37.698,28106.0,460.0,460.0,True,36.413,28106.0,460.0,460.0,True,43.15,28107,460,460,True,42.803,28107,460,460
131,True,37.876,28284.0,460.0,460.0,True,36.802,28284.0,460.0,460.0,True,43.091,28285,460,460,True,43.248,28285,460,460
132,True,37.904,28323.0,460.0,460.0,True,37.696,28323.0,460.0,460.0,True,43.445,28324,460,460,True,42.696,28324,460,460
133,True,37.833,28529.0,460.0,460.0,True,36.756,28529.0,460.0,460.0,True,43.068,28530,460,460,True,42.752,28530,460,460
134,True,38.742,28549.0,460.0,460.0,True,37.543,28549.0,460.0,460.0,True,43.279,28550,460,460,True,43.101,28550,460,460
135,True,37.722,28890.0,460.0,460.0,True,37.551,28890.0,460.0,460.0,True,44.011,28891,460,460,True,43.545,28891,460,460
136,True,38.451,29191.0,460.0,460.0,True,38.133,29191.0,460.0,460.0,True,44.08,29192,460,460,True,43.451,29192,460,460
137,True,38.274,29522.0,460.0,460.0,True,37.615,29522.0,460.0,460.0,True,43.893,29523,460,460,True,43.59,29523,460,460
138,True,38.612,29797.0,460.0,460.0,True,37.894,29797.0,460.0,460.0,True,44.046,29798,460,460,True,43.2,29798,460,460
139,True,39.515,29852.0,460.0,460.0,True,38.337,29852.0,460.0,460.0,True,43.992,29853,460,460,True,42.993,29853,460,460
140,True,38.879,30072.0,460.0,460.0,True,37.444,30072.0,460.0,460.0,True,44.441,30073,460,460,True,43.819,30073,460,460
141,True,39.765,30126.0,460.0,460.0,True,37.644,30126.0,460.0,460.0,True,44.397,30127,460,460,True,44.515,30127,460,460
142,True,39.177,30190.0,460.0,460.0,True,38.74,30190.0,460.0,460.0,True,44.958,30191,460,460,True,43.766,30191,460,460
143,True,39.27,30509.0,460.0,460.0,True,38.024,30509.0,460.0,460.0,True,44.226,30510,460,460,True,45.25,30510,460,460
144,True,39.487,30641.0,460.0,460.0,True,38.42,30641.0,460.0,460.0,True,44.619,30642,460,460,True,44.286,30642,460,460
145,True,39.213,30964.0,460.0,460.0,True,38.687,30964.0,460.0,460.0,True,45.979,30965,460,460,True,44.529,30965,460,460
146,True,39.286,31120.0,460.0,460.0,True,39.773,31120.0,460.0,460.0,True,45.31,31121,460,460,True,45.108,31121,460,460
147,,,,,,,,,,,True,44.908,31284,460,460,True,45.353,31284,460,460
148,,,,,,,,,,,True,46.374,31630,460,460,True,45.368,31630,460,460
149,,,,,,,,,,,True,46.43,31707,460,460,True,44.486,31707,460,460
150,,,,,,,,,,,True,45.771,32007,460,460,True,45.502,32007,460,460
151,,,,,,,,,,,True,45.385,32034,460,460,True,44.513,32034,460,460
152,,,,,,,,,,,True,45.481,32361,460,460,True,44.38,32361,460,460
153,,,,,,,,,,,True,45.379,32535,460,460,True,44.093,32535,460,460
154,,,,,,,,,,,True,45.968,32682,460,460,True,45.375,32682,460,460
155,,,,,,,,,,,True,47.19,32915,460,460,True,46.782,32915,460,460
156,,,,,,,,,,,True,47.982,33335,460,460,True,45.929,33335,460,460
157,,,,,,,,,,,True,40.494,33628,460,460,True,39.374,33628,460,460
158,,,,,,,,,,,True,40.992,33677,460,460,True,39.714,33677,460,460
159,,,,,,,,,,,True,41.116,34011,460,460,True,39.935,34011,460,460
160,,,,,,,,,,,True,41.272,34350,460,460,True,40.982,34350,460,460
161,,,,,,,,,,,True,40.613,34411,460,460,True,39.338,34411,460,460
162,,,,,,,,,,,True,41.254,34510,460,460,True,39.916,34510,460,460
163,,,,,,,,,,,True,41.411,34521,460,460,True,40.054,34521,460,460
164,,,,,,,,,,,True,40.955,34928,460,460,True,41.154,34928,460,460
165,,,,,,,,,,,True,57.052,34973,460,460,True,55.874,34973,460,460
166,,,,,,,,,,,True,57.511,34987,460,460,True,56.407,34987,460,460
167,,,,,,,,,,,True,58.287,35040,460,460,True,55.399,35040,460,460
168,,,,,,,,,,,True,57.892,35093,460,460,True,56.322,35093,460,460
169,,,,,,,,,,,True,55.752,35403,460,460,True,56.875,35403,460,460
170,,,,,,,,,,,True,56.526,35631,460,460,True,57.917,35631,460,460
171,,,,,,,,,,,True,57.41,35844,460,460,True,58.34,35844,460,460
172,,,,,,,,,,,True,57.457,36134,460,460,True,58.974,36134,460,460
